iter	Passed	Remaining
0	52	5232
1	53	2598
2	53	1721
3	53	1282
4	53	1017
5	53	841
6	53	715
7	54	621
8	54	548
9	54	490
10	54	441
11	54	401
12	54	367
13	55	338
14	55	313
15	55	291
16	55	271
17	55	254
18	55	238
19	56	224
20	56	211
21	56	200
22	56	189
23	56	179
24	57	171
25	57	162
26	57	155
27	57	148
28	57	141
29	57	135
30	58	129
31	58	123
32	58	118
33	58	113
34	58	109
35	58	104
36	59	100
37	59	96
38	59	92
39	59	89
40	59	85
41	59	82
42	60	79
43	60	76
44	60	74
45	60	71
46	60	68
47	60	66
48	61	63
49	61	61
50	61	59
51	61	57
52	61	54
53	62	52
54	62	50
55	62	49
56	62	47
57	62	45
58	62	43
59	63	42
60	63	40
61	63	38
62	63	37
63	63	35
64	63	34
65	64	33
66	64	31
67	64	30
68	64	29
69	64	27
70	64	26
71	65	25
72	65	24
73	65	22
74	65	21
75	65	20
76	65	19
77	65	18
78	66	17
79	66	16
80	66	15
81	66	14
82	66	13
83	67	12
84	67	11
85	67	10
86	67	10
87	67	9
88	68	8
89	68	7
90	69	6
91	69	6
92	69	5
93	69	4
94	69	3
95	69	2
96	69	2
97	70	1
98	70	0
99	70	0
