Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP00001,Male,No,0,Graduate,Yes,8241,24012,169.0,180,1.0,Urban
LP00002,Male,No,2,Graduate,Yes,6414,1472,211.0,480,1.0,Rural,Y
LP00003,Male,Yes,3+,Graduate,,5826,2559,119.0,180,0.0,Semiurban,N
LP00004,Male,No,2,Graduate,Yes,7604,0,62.0,360,1.0,Urban,Y
LP00005,Female,No,3+,Not Graduate,Yes,4467,2239,99.0,120,0.0,Semiurban,N
LP00006,Male,Yes,3+,Not Graduate,No,10664,1483,143.0,120,1.0,Rural,Y
LP00007,Male,Yes,2,Not Graduate,No,5639,1955,88.0,240,0.0,Urban,Y
LP00008,Female,No,1,Not Graduate,Yes,5498,1391,112.0,240,1.0,Urban,Y
LP00009,Female,,1,Not Graduate,Yes,6966,319,177.0,480,1.0,Urban,Y
LP00010,Male,No,3+,Not Graduate,No,7522,0,80.0,180,0.0,Rural,Y
LP00011,Female,Yes,2,Not Graduate,Yes,8846,38616,,120,1.0,Semiurban,Y
LP00012,Female,,1,Not Graduate,Yes,47261,792,119.0,180,1.0,Rural,Y
LP00013,Male,Yes,2,Not Graduate,Yes,7859,0,154.0,120,1.0,Urban,Y
LP00014,Male,Yes,1,Not Graduate,Yes,5307,2656,186.0,120,1.0,Semiurban,Y
LP00015,Female,No,2,Not Graduate,No,4901,1367,154.0,180,0.0,Urban,Y
LP00016,Male,Yes,0,Graduate,Yes,5802,1540,90.0,120,1.0,Urban,Y
LP00017,Female,Yes,1,Not Graduate,Yes,9031,3698,136.0,120,1.0,Semiurban,Y
LP00018,Female,No,3+,Graduate,Yes,7904,896,156.0,120,1.0,Urban,Y
LP00019,Female,Yes,3+,Graduate,No,6910,3990,40.0,120,1.0,Semiurban,Y
LP00020,Male,Yes,0,Graduate,Yes,7217,1381,144.0,360,0.0,Semiurban,N
LP00021,Female,Yes,3+,Not Graduate,No,6450,2299,206.0,360,,Semiurban,N
LP00022,Male,Yes,2,Graduate,Yes,4978,1097,181.0,480,1.0,Rural,Y
LP00023,Male,Yes,0,Graduate,Yes,5675,2518,,240,1.0,Rural,Y
LP00024,Male,Yes,3+,Not Graduate,No,5244,1341,122.0,360,1.0,Urban,Y
LP00025,Female,No,0,Graduate,No,7740,2165,140.0,240,1.0,Rural,Y
LP00026,,No,0,Graduate,No,3461,1211,124.0,120,1.0,Semiurban,Y
LP00027,Female,Yes,1,Not Graduate,Yes,6596,2365,224.0,240,1.0,Urban,Y
LP00028,Male,No,3+,Not Graduate,Yes,7643,1695,53.0,240,1.0,Urban,Y
LP00029,Female,Yes,3+,Not Graduate,Yes,7150,5248,131.0,120,1.0,Urban,Y
LP00030,Male,No,1,Graduate,No,6913,163,191.0,180,1.0,Semiurban,Y
LP00031,Male,Yes,2,Not Graduate,Yes,8977,526,203.0,120,0.0,Urban,N
LP00032,Male,No,3+,Graduate,No,8467,4866,95.0,180,0.0,Urban,Y
LP00033,,,2,Not Graduate,Yes,7249,1095,70.0,120,0.0,Urban,Y
LP00034,Female,No,2,Graduate,Yes,42656,2463,98.0,240,0.0,Semiurban,Y
LP00035,Female,No,3+,Graduate,No,5041,1349,176.0,240,1.0,Rural,Y
LP00036,Female,No,0,Not Graduate,No,7568,3629,67.0,360,1.0,Rural,Y
LP00037,Female,No,2,Graduate,Yes,7649,2894,84.0,240,1.0,Semiurban,Y
LP00038,Female,Yes,2,Not Graduate,Yes,8304,2215,151.0,180,1.0,Semiurban,Y
LP00039,Male,No,1,Graduate,No,5299,2125,153.0,240,1.0,Rural,Y
LP00040,Female,Yes,1,Graduate,,11664,2463,86.0,120,0.0,Urban,Y
LP00041,Female,No,3+,Graduate,Yes,4563,2901,192.0,120,1.0,Rural,Y
LP00042,Male,No,0,Graduate,Yes,9408,2377,176.0,120,1.0,Semiurban,Y
LP00043,Female,No,3+,Graduate,No,6386,744,99.0,480,0.0,Semiurban,N
LP00044,Male,No,3+,Graduate,No,6807,2277,,240,1.0,Urban,Y
LP00045,Male,No,1,Graduate,Yes,7032,3834,128.0,480,1.0,Semiurban,Y
LP00046,Female,Yes,3+,Not Graduate,Yes,8564,599,91.0,360,1.0,Semiurban,Y
LP00047,Female,Yes,2,Not Graduate,No,6441,2799,161.0,360,1.0,Urban,Y
LP00048,Male,Yes,3+,Graduate,Yes,4883,0,119.0,360,1.0,Rural,Y
LP00049,Female,Yes,3+,Not Graduate,No,7535,55,147.0,180,1.0,Semiurban,Y
LP00050,Female,Yes,0,Not Graduate,Yes,4790,2015,142.0,360,1.0,Rural,Y
LP00051,Male,Yes,1,Graduate,Yes,7894,2585,188.0,120,1.0,Semiurban,Y
LP00052,Female,Yes,0,Graduate,No,3555,487,163.0,180,1.0,Urban,Y
LP00053,,Yes,0,Graduate,Yes,8287,7193,165.0,480,1.0,Rural,Y
LP00054,Female,No,2,Graduate,No,9385,2711,125.0,480,0.0,Urban,Y
LP00055,Female,Yes,3+,Graduate,No,5067,1468,118.0,120,1.0,Rural,Y
LP00056,Female,Yes,0,Not Graduate,No,12786,0,170.0,360,1.0,Urban,Y
LP00057,Female,Yes,3+,Graduate,No,5820,3324,142.0,360,1.0,Semiurban,Y
LP00058,Male,Yes,3+,Not Graduate,Yes,5211,2751,107.0,240,1.0,Rural,Y
LP00059,Female,Yes,3+,Graduate,No,7113,887,236.0,360,0.0,Rural,N
LP00060,Female,No,2,Not Graduate,No,1937,2061,110.0,480,,Urban,Y
LP00061,Male,Yes,3+,Not Graduate,No,5018,1639,162.0,120,1.0,Urban,Y
LP00062,Male,No,0,Graduate,No,3999,1331,118.0,240,1.0,Rural,Y
